,id,source
1,50279890,ndop
2,50279793,ndop
3,50279726,ndop
4,50279657,ndop
5,50279605,ndop
6,50279536,ndop
7,50279463,ndop
8,50279394,ndop
9,50279135,ndop
10,50279065,ndop
11,50278966,ndop
12,50154567,ndop
13,50128652,ndop
14,50128503,ndop
15,50030366,ndop
16,49962970,ndop
17,49962965,ndop
18,49928633,ndop
19,49906649,ndop
20,49830857,ndop
21,49816031,ndop
22,49808935,ndop
23,49808770,ndop
24,49808671,ndop
25,49807771,ndop
26,49732708,ndop
27,48993159,ndop
28,48910221,ndop
29,48887123,ndop
30,48884224,ndop
31,48847915,ndop
32,48829735,ndop
33,48828850,ndop
34,48814387,ndop
35,48766027,ndop
36,48701212,ndop
37,48640531,ndop
38,48635935,ndop
39,48585191,ndop
40,48055063,ndop
41,48054842,ndop
42,48054770,ndop
43,48054682,ndop
44,47991807,ndop
45,47987165,ndop
46,47622288,ndop
47,47583610,ndop
48,47582956,ndop
49,47539755,ndop
50,46643898,ndop
51,46640107,ndop
52,46634020,ndop
53,46634019,ndop
54,46585138,ndop
55,46439986,ndop
56,46338304,ndop
57,46337491,ndop
58,46337403,ndop
59,46337362,ndop
60,46337341,ndop
61,46337310,ndop
62,46337295,ndop
63,46337262,ndop
64,46337121,ndop
65,46303219,ndop
66,46286031,ndop
67,46098282,ndop
68,46085994,ndop
69,45531953,ndop
70,45484041,ndop
71,45480724,ndop
72,45477896,ndop
73,44435431,ndop
74,44406244,ndop
75,44378955,ndop
76,44340935,ndop
77,43833624,ndop
78,43833526,ndop
79,43449471,ndop
80,43368568,ndop
81,43364134,ndop
82,43360707,ndop
83,39745869,ndop
84,39266627,ndop
85,39252318,ndop
86,39245358,ndop
87,39222314,ndop
88,37105564,ndop
89,37087194,ndop
90,37034609,ndop
91,37033387,ndop
92,36614115,ndop
93,36016543,ndop
94,36016339,ndop
95,36010135,ndop
96,35804728,ndop
97,34647730,ndop
98,33766382,ndop
99,33764897,ndop
100,33643047,ndop
101,33637900,ndop
102,33632929,ndop
103,33632762,ndop
104,33632761,ndop
105,33632760,ndop
106,32995479,ndop
107,32891923,ndop
108,32873589,ndop
109,32873578,ndop
110,32609792,ndop
111,31501735,ndop
112,31329495,ndop
113,31329434,ndop
114,31327360,ndop
115,31325475,ndop
116,31325367,ndop
117,26666950,ndop
118,26556685,ndop
119,26460413,ndop
120,23402937,ndop
121,23383301,ndop
122,23383251,ndop
123,23375947,ndop
124,23339820,ndop
125,15672618,ndop
126,15549868,ndop
127,15549674,ndop
128,15549433,ndop
129,15549119,ndop
130,15548811,ndop
131,15548682,ndop
132,14482068,ndop
133,14482061,ndop
134,13670401,ndop
135,13582168,ndop
136,13582136,ndop
137,13582003,ndop
138,13581375,ndop
139,13581170,ndop
140,13581012,ndop
141,13580745,ndop
142,12160808,ndop
143,12026784,ndop
144,11994749,ndop
145,11994037,ndop
146,11993628,ndop
147,11993512,ndop
148,11993305,ndop
149,11992944,ndop
150,11992866,ndop
151,11991877,ndop
152,11991193,ndop
153,11990394,ndop
154,11990044,ndop
155,11990043,ndop
156,11989966,ndop
157,11989476,ndop
158,11492164,ndop
159,11468012,ndop
160,4317134,ndop
161,4209145,ndop
162,4209092,ndop
163,4209091,ndop
164,4209090,ndop
165,4209089,ndop
166,4209088,ndop
167,4209087,ndop
168,4209086,ndop
169,4209085,ndop
170,4209084,ndop
171,4209083,ndop
172,4206862,ndop
173,1410515,biom_sk
174,1412839,biom_sk
175,1493970,biom_sk
176,1494025,biom_sk
177,1595404,biom_sk
178,1653898,biom_sk
179,1666148,biom_sk
183,2410523,biom_sk
185,2447545,biom_sk
190,70747341,inat
191,70727667,inat
192,70683206,inat
193,70515193,inat
194,70396849,inat
195,70244279,inat
196,70243652,inat
197,70243639,inat
198,70243515,inat
199,70198255,inat
200,70044940,inat
201,70005492,inat
202,69987320,inat
203,69428526,inat
204,69303282,inat
205,69300814,inat
206,69300106,inat
207,69043996,inat
208,68994196,inat
209,68860594,inat
210,68801612,inat
211,68752883,inat
212,68681036,inat
213,68610409,inat
214,68541546,inat
215,68420953,inat
216,68404001,inat
217,68223419,inat
218,68135155,inat
219,68048790,inat
220,68009649,inat
221,67770353,inat
222,67505906,inat
223,67295212,inat
224,67244558,inat
225,67164324,inat
226,67038777,inat
227,67010509,inat
228,66963602,inat
229,66732147,inat
230,66701303,inat
231,66577219,inat
232,66539218,inat
233,66457375,inat
234,66290125,inat
235,66245395,inat
236,66234412,inat
237,66177516,inat
238,66085929,inat
239,65488599,inat
240,65227340,inat
241,65167369,inat
242,65160218,inat
243,65157322,inat
244,65004368,inat
245,64875257,inat
246,64794640,inat
247,64694115,inat
248,64659101,inat
249,64597016,inat
250,64581787,inat
251,64487642,inat
252,64437690,inat
253,64297098,inat
254,63808079,inat
255,63649369,inat
256,63649095,inat
257,63591070,inat
258,63235664,inat
259,63223283,inat
260,63086530,inat
261,62939632,inat
262,62877890,inat
263,62775435,inat
264,62697656,inat
265,62401358,inat
266,62265000,inat
267,61987228,inat
268,61900852,inat
269,61549216,inat
270,61547815,inat
271,61475907,inat
272,61391955,inat
273,61282523,inat
274,61135504,inat
275,60973071,inat
276,60917542,inat
277,60902901,inat
278,60808618,inat
279,60599874,inat
280,60570701,inat
281,60425157,inat
282,60238785,inat
283,60235454,inat
284,60193163,inat
285,60163280,inat
286,59620791,inat
287,59562109,inat
288,59471185,inat
289,59331123,inat
290,59310791,inat
291,59298798,inat
292,59279090,inat
293,59260861,inat
294,59167190,inat
295,59162941,inat
296,59161086,inat
297,59034779,inat
298,59007939,inat
299,58953569,inat
300,58952838,inat
301,58871782,inat
302,58766803,inat
303,58749489,inat
304,58646319,inat
305,58626869,inat
306,58612167,inat
307,58523062,inat
308,58488820,inat
309,58340768,inat
310,58131216,inat
311,58131137,inat
312,58058939,inat
313,57838982,inat
314,57735742,inat
315,57620558,inat
316,57582580,inat
317,57540737,inat
318,57449475,inat
319,57441070,inat
320,57425987,inat
321,57311988,inat
322,57252790,inat
323,57118702,inat
324,56739233,inat
325,56736499,inat
326,56612233,inat
327,56509632,inat
328,56503198,inat
329,56398890,inat
330,56310489,inat
331,56308332,inat
332,56270558,inat
333,56245983,inat
334,56203124,inat
335,56043505,inat
336,56013159,inat
337,55890200,inat
338,55730419,inat
339,55688235,inat
340,55685735,inat
