"","X","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1",1,"LQ_5","LQ",5,0.6823,0.672986087117017,0.000242879427695194,0.0124385584511514,0.00062003643666107,0.00952380952380952,0.000453514739229025,0.117829457364341,0.00236114636949065,6531.49215038305,133.05826419074,1.46440701340583e-12,7
"2",2,"LQP_5","LQP",5,0.6935,0.681981007751938,0.000211614552510458,0.0162112742930438,0.000504579716419315,0.00952380952380952,0.000453514739229025,0.117607973421927,0.00117526909808452,6531.8985015282,133.46461533589,1.19515372699588e-12,11
"3",3,"LQT_5","LQT",5,0.7554,0.71682238464378,0.000881321613732712,0.0350813383237696,0.000969532583954888,0.0142857142857143,0.000453514739229025,0.174197120708749,0.00316092905523486,6477.80544779184,79.3715615995307,0.666163975822997,14
"4",4,"LQH_5","LQH",5,0.7439,0.721722995570321,0.000423255254329543,0.0219038367883533,0.000613947134618294,0.018936877076412,0.000395568358946247,0.117829457364341,0.0042931522708236,6519.71823653471,121.2843503424,5.27636350172389e-10,34
"5",5,"LQHT_5","LQHT",5,0.7684,0.738947128091547,0.000464829543419367,0.0266589089454903,0.000804692914132881,0.00952380952380952,0.000170068027210884,0.150830564784053,0.00399946529900945,6499.52145066087,101.08756446856,1.28236316915015e-05,35
"6",6,"LQTP_5","LQTP",5,0.7621,0.722319865263935,0.000981770470428352,0.0364113669342074,0.0012612770146177,0.0142857142857143,0.000453514739229025,0.169545957918051,0.00448339422302182,6479.18774748725,80.7538612949402,0.333747928340536,17
"7",7,"LQHP_5","LQHP",5,0.7463,0.723926936138797,0.000420116069986201,0.0219712522090299,0.000612921887296669,0.0235880398671096,0.000283538690399542,0.132115171650055,0.00592395963252797,6513.77374034107,115.33985414876,1.03077922004316e-08,33
"8",8,"LQHPT_5","LQHPT",5,0.7704,0.739346212624585,0.000493109915328601,0.0269792486757249,0.000926489136598486,0.0142857142857143,0.000453514739229025,0.150830564784053,0.00566105475902277,6495.98209616106,97.5482099687506,7.52613666877383e-05,35
"9",9,"LQ_4.5","LQ",4.5,0.6858,0.669625286083426,0.00855258266017354,0.0356854996436219,0.00534837979189719,0.0140642303433001,0.00043530301971158,0.141306755260244,0.00455161152256107,6528.49425938141,130.060373189101,4.6267370341592e-15,8
"10",10,"LQP_4.5","LQP",4.5,0.701,0.680025245478036,0.00821725683931766,0.0373751669559977,0.0058290462254947,0.0141749723145072,0.00045093934454979,0.145736434108527,0.00641739298928513,6523.4560724105,125.022186218191,5.7451744011132e-14,11
"11",11,"LQT_4.5","LQT",4.5,0.7659,0.721314219269103,0.00959452780089466,0.0498465414901443,0.0084886431607378,0.0187153931339978,0.000920764916747301,0.197452934662237,0.0122327568128387,6463.31406690827,64.8801807159607,0.659134094800512,14
"12",12,"LQH_4.5","LQH",4.5,0.7505,0.720371734957549,0.0119396255681136,0.0429705118324768,0.00735056807155499,0.0140642303433001,0.00043530301971158,0.136323366555925,0.0113391561780652,6534.53963465492,136.10574846261,2.25184376474288e-16,43
"13",13,"LQHT_4.5","LQHT",4.5,0.7761,0.738843252122555,0.0110672420512549,0.0453395762868182,0.00697769734119185,0.0233665559246955,0.00162255996683873,0.145957918050941,0.0103570110214628,6483.66334106885,85.2294548765403,2.51295688529228e-05,35
"14",14,"LQTP_4.5","LQTP",4.5,0.7724,0.727590581395349,0.00950680312285786,0.0505317761964571,0.00886496780774004,0.0140642303433001,0.00043530301971158,0.192912513842746,0.0175026581752225,6464.63309009217,66.1992038998605,0.340840765234129,17
"15",15,"LQHP_4.5","LQHP",4.5,0.7527,0.723563632336656,0.0121907530178798,0.0426356400344988,0.00740518748675226,0.0140642303433001,0.00043530301971158,0.141196013289037,0.0105073036966725,6518.4736002042,120.03971401189,6.93798424712658e-13,39
"16",16,"LQHPT_4.5","LQHPT",4.5,0.7772,0.739782641196013,0.011193203550054,0.0457132977164754,0.00712209376610118,0.0233665559246955,0.00162255996683873,0.150719822812846,0.0115672625639403,6499.24414783765,100.810261645341,1.0395750213554e-08,41
"17",17,"LQ_4","LQ",4,0.6903,0.684640033222591,0.00239360723209579,0.0175796528717294,0.000542825818493051,0.0141749723145072,0.00045093934454979,0.117054263565891,0.00182969528175431,6525.20019927918,126.76631308687,2.60672432205234e-14,9
"18",18,"LQP_4","LQP",4,0.7087,0.697471842008121,0.0023221045227106,0.0218319557870204,0.000644526440647917,0.0141749723145072,0.00045093934454979,0.117275747508306,0.00302890941846362,6518.77300929081,120.3391230985,6.48248733865229e-13,13
"19",19,"LQT_4","LQT",4,0.7739,0.737148630490956,0.00340025949239729,0.0436308272383345,0.00222372694866029,0.0235880398671096,0.000850432114435823,0.17375415282392,0.00101764881182327,6464.06790725661,65.6340210643002,0.490685980576089,21
"20",20,"LQH_4","LQH",4,0.7567,0.732004437061646,0.00256828997888509,0.0266100980342633,0.00231612983404161,0.0140642303433001,0.000164886578391948,0.117386489479513,0.00108396522481356,6547.78892960837,149.355043416061,3.24350548407131e-19,51
"21",21,"LQHT_4","LQHT",4,0.7819,0.75236796234773,0.00268372967378928,0.0325939217579593,0.00188006458462943,0.0188261351052049,0.000394280661606629,0.136323366555925,0.00349707937979591,6506.26790835957,107.834022167261,3.3665870012681e-10,47
"22",22,"LQTP_4","LQTP",4,0.7801,0.740847574750831,0.00223116302225187,0.0424330484738979,0.00202598836279057,0.0235880398671096,0.000850432114435823,0.145514950166113,0.00318787872098542,6463.99338648208,65.5595002897699,0.509314019086152,23
"23",23,"LQHP_4","LQHP",4,0.7576,0.733160717977113,0.00225300991669669,0.0275972299318748,0.00209931757409077,0.00941306755260244,0.000166174275731565,0.121926910299003,0.0016952228881457,6519.61630247267,121.18241628036,4.25229014028353e-13,43
